,predictions,file_names
0,neutral,03-01-01-01-02-02-21.wav
1,happy,03-01-03-01-01-01-05.wav
2,sad,03-01-04-01-01-01-11.wav
3,sad,03-01-04-01-01-01-06.wav
4,sad,03-01-01-01-02-02-24.wav
5,neutral,03-01-01-01-01-02-22.wav
6,sad,03-01-01-01-02-01-14.wav
7,angry,03-01-04-01-02-02-07.wav
8,happy,03-01-03-01-02-02-07.wav
9,happy,03-01-03-01-02-01-17.wav
10,happy,03-01-03-01-02-02-04.wav
11,sad,03-01-04-01-01-01-02.wav
12,angry,03-01-05-01-01-01-11.wav
13,neutral,03-01-01-01-01-02-08.wav
14,neutral,03-01-01-01-02-01-09.wav
15,happy,03-01-01-01-02-02-19.wav
16,sad,03-01-04-01-01-02-21.wav
17,neutral,03-01-01-01-02-01-22.wav
18,angry,03-01-05-01-01-01-02.wav
19,sad,03-01-04-01-02-02-04.wav
20,happy,03-01-03-01-02-02-12.wav
21,neutral,03-01-01-01-01-02-18.wav
22,angry,03-01-05-02-02-01-03.wav
23,neutral,03-01-01-01-01-02-17.wav
24,sad,03-01-04-01-02-02-20.wav
25,sad,03-01-05-01-02-01-13.wav
26,sad,03-01-04-02-01-01-09.wav
27,angry,03-01-05-01-01-02-01.wav
28,sad,03-01-04-01-02-01-07.wav
29,angry,03-01-04-02-02-01-11.wav
30,sad,03-01-04-02-01-02-04.wav
31,angry,03-01-05-02-01-01-21.wav
32,angry,03-01-05-02-02-02-24.wav
33,angry,03-01-05-02-01-02-01.wav
34,angry,03-01-05-01-01-02-15.wav
35,angry,03-01-05-01-02-02-22.wav
36,sad,03-01-03-02-01-01-04.wav
37,angry,03-01-05-02-02-01-19.wav
38,happy,03-01-03-01-01-02-10.wav
39,sad,03-01-01-01-02-01-16.wav
40,angry,03-01-05-02-02-01-22.wav
41,happy,03-01-03-01-02-02-15.wav
42,neutral,03-01-01-01-02-02-07.wav
43,sad,03-01-04-01-02-02-01.wav
44,happy,03-01-03-02-02-01-21.wav
45,sad,03-01-04-01-02-01-03.wav
46,happy,03-01-03-02-01-02-07.wav
47,angry,03-01-03-01-01-01-03.wav
48,sad,03-01-03-01-02-02-18.wav
49,happy,03-01-03-02-01-01-21.wav
50,sad,03-01-04-02-02-02-06.wav
51,happy,03-01-05-01-02-01-04.wav
52,happy,03-01-05-02-01-01-10.wav
53,angry,03-01-05-01-02-01-21.wav
54,angry,03-01-03-01-02-01-04.wav
55,sad,03-01-04-02-02-02-20.wav
56,angry,03-01-05-02-02-01-21.wav
57,sad,03-01-01-01-02-01-01.wav
58,happy,03-01-03-01-02-01-23.wav
59,angry,03-01-05-01-01-01-06.wav
60,angry,03-01-05-02-01-02-05.wav
61,angry,03-01-05-02-01-01-15.wav
62,angry,03-01-05-02-01-02-18.wav
63,angry,03-01-03-02-02-02-21.wav
64,sad,03-01-04-01-02-02-09.wav
65,angry,03-01-05-02-02-02-08.wav
66,happy,03-01-03-01-01-02-23.wav
67,happy,03-01-03-01-02-02-23.wav
68,sad,03-01-04-01-01-02-06.wav
69,angry,03-01-03-02-02-02-03.wav
70,sad,03-01-04-01-02-02-06.wav
71,sad,03-01-04-01-01-02-19.wav
72,angry,03-01-05-01-01-01-09.wav
73,angry,03-01-05-01-01-01-04.wav
74,angry,03-01-05-01-01-02-04.wav
75,sad,03-01-04-02-01-02-15.wav
76,sad,03-01-01-01-01-02-10.wav
77,happy,03-01-03-02-01-02-19.wav
78,happy,03-01-03-02-02-02-05.wav
79,sad,03-01-01-01-02-02-01.wav
80,sad,03-01-04-02-02-02-02.wav
81,neutral,03-01-01-01-01-01-06.wav
82,neutral,03-01-01-01-01-01-04.wav
83,angry,03-01-05-01-01-01-21.wav
84,happy,03-01-05-01-01-02-20.wav
85,happy,03-01-05-01-02-02-10.wav
86,happy,03-01-05-02-01-02-13.wav
87,sad,03-01-04-02-01-02-08.wav
88,happy,03-01-03-01-01-01-12.wav
89,neutral,03-01-03-02-01-02-09.wav
90,sad,03-01-04-01-01-02-01.wav
91,happy,03-01-01-01-02-02-02.wav
92,happy,03-01-03-01-02-01-03.wav
93,sad,03-01-04-02-02-01-02.wav
94,neutral,03-01-03-01-01-01-22.wav
95,angry,03-01-05-01-01-02-13.wav
96,neutral,03-01-01-01-02-01-08.wav
97,happy,03-01-05-01-02-01-06.wav
98,happy,03-01-03-01-01-01-18.wav
99,sad,03-01-04-01-01-01-23.wav
100,angry,03-01-05-02-02-02-20.wav
101,sad,03-01-04-02-02-01-12.wav
102,happy,03-01-03-01-01-02-06.wav
103,angry,03-01-05-01-02-01-24.wav
104,neutral,03-01-01-01-02-02-20.wav
105,happy,03-01-03-02-01-02-14.wav
106,neutral,03-01-01-01-01-02-15.wav
107,angry,03-01-05-02-01-02-10.wav
108,angry,03-01-03-02-02-02-11.wav
109,sad,03-01-04-02-01-02-10.wav
110,neutral,03-01-01-01-02-01-19.wav
111,angry,03-01-03-02-01-01-10.wav
112,neutral,03-01-04-02-01-01-03.wav
113,neutral,03-01-01-01-02-02-17.wav
114,sad,03-01-01-01-02-01-24.wav
115,sad,03-01-04-01-01-02-11.wav
116,angry,03-01-05-01-01-01-16.wav
117,angry,03-01-05-01-01-01-01.wav
118,happy,03-01-04-02-02-01-15.wav
119,neutral,03-01-01-01-02-02-18.wav
120,sad,03-01-01-01-01-01-23.wav
121,angry,03-01-05-02-01-01-12.wav
122,sad,03-01-04-02-02-01-20.wav
123,sad,03-01-03-02-02-02-09.wav
124,neutral,03-01-01-01-01-01-12.wav
125,happy,03-01-03-02-02-02-08.wav
126,happy,03-01-03-02-02-01-14.wav
127,sad,03-01-04-02-02-02-22.wav
128,neutral,03-01-03-01-01-01-13.wav
129,angry,03-01-05-01-01-01-03.wav
130,neutral,03-01-01-01-02-01-04.wav
131,angry,03-01-05-02-01-01-20.wav
132,angry,03-01-05-02-02-01-24.wav
133,sad,03-01-04-02-02-01-14.wav
134,neutral,03-01-01-01-01-01-19.wav
135,sad,03-01-04-02-01-02-23.wav
136,angry,03-01-05-01-02-01-11.wav
137,sad,03-01-04-01-02-02-03.wav
138,angry,03-01-05-02-02-02-01.wav
139,neutral,03-01-01-01-02-01-05.wav
140,neutral,03-01-03-01-01-01-04.wav
141,happy,03-01-03-01-01-01-15.wav
142,angry,03-01-05-02-01-02-11.wav
143,happy,03-01-03-02-01-01-03.wav
144,angry,03-01-05-02-02-01-14.wav
145,neutral,03-01-05-01-02-01-20.wav
146,happy,03-01-03-02-02-01-12.wav
147,sad,03-01-04-01-01-02-12.wav
148,neutral,03-01-01-01-01-02-16.wav
149,happy,03-01-05-01-02-02-20.wav
150,sad,03-01-04-01-02-02-10.wav
151,angry,03-01-05-01-01-01-12.wav
152,neutral,03-01-03-01-01-02-05.wav
153,angry,03-01-05-01-02-02-07.wav
154,sad,03-01-04-02-01-02-06.wav
155,angry,03-01-05-02-02-02-15.wav
156,sad,03-01-04-02-02-01-24.wav
157,sad,03-01-04-01-01-02-17.wav
158,angry,03-01-05-01-02-01-01.wav
159,sad,03-01-04-01-02-02-15.wav
160,sad,03-01-05-01-02-02-08.wav
161,neutral,03-01-04-01-02-01-02.wav
162,sad,03-01-04-01-01-02-03.wav
163,sad,03-01-04-02-02-02-08.wav
164,angry,03-01-05-01-01-01-18.wav
165,neutral,03-01-01-01-01-01-08.wav
166,happy,03-01-01-01-01-01-15.wav
167,happy,03-01-03-01-02-01-01.wav
